Order,Longitude1,Latitude1,Easting1,Northing1
1,-69.59503777,-54.77623591,461725,3929946
2,-69.59142992,-54.77616368,461957,3929956
3,-69.58994815,-54.77689883,462053,3929875
4,-69.58873204,-54.77773153,462132,3929783
5,-69.58685422,-54.7779653,462253,3929758
6,-69.58787874,-54.77678306,462186,3929889
7,-69.58894513,-54.77634652,462117,3929937
8,-69.58994748,-54.77578446,462052,3929999
9,-69.590621,-54.77506223,462008,3930079
10,-69.59170534,-54.77479632,461938,3930108
11,-69.61648101,-54.76221706,460332,3931494
12,-69.61642852,-54.76183089,460335,3931537
13,-69.61771928,-54.76188723,460252,3931530
14,-69.61875634,-54.76161234,460185,3931560
15,-69.61949086,-54.76086267,460137,3931643
16,-69.62011411,-54.75995181,460096,3931744
17,-69.62157559,-54.75898272,460001,3931851
18,-69.61955766,-54.76218342,460134,3931496
19,-69.61977121,-54.76293723,460121,3931412
20,NA,NA,460051,3931432
21,-69.62188548,-54.7619648,459984,3931519
22,-69.62274689,-54.76138522,459928,3931583
23,-69.60350029,-54.79538115,461199,3927811
24,-69.60241713,-54.79471252,461268,3927886
25,-69.6019597,-54.79428342,461297,3927934
26,-69.60078088,-54.79345348,461372,3928027
27,-69.59994638,-54.79276562,461425,3928104
28,-69.59898536,-54.79193458,461486,3928197
29,-69.59866199,-54.7911004,461506,3928290
30,-69.59698411,-54.79016504,461613,3928395
31,-69.59618515,-54.78871309,461663,3928557
32,-69.59548549,-54.78766506,461707,3928674
33,-69.59563069,-54.78696337,461697,3928752
34,-69.59510753,-54.78628293,461730,3928828
35,-69.59413332,-54.78559571,461792,3928905
36,-69.59334364,-54.78476379,461842,3928998
37,-69.59306761,-54.78396531,461859,3929087
38,-69.59307658,-54.78351592,461858,3929137
39,-69.59163309,-54.78156382,461949,3929355
40,-69.59064391,-54.78090361,462012,3929429
41,NA,NA,473752,3918204
42,NA,NA,473858,3918335
43,NA,NA,473963,3918441
44,NA,NA,474108,3918570
45,NA,NA,474222,3918640
46,NA,NA,474309,3918645
47,NA,NA,474398,3918606
48,NA,NA,474463,3918574
49,NA,NA,474499,3918504
50,-69.39653189,-54.88022392,474559,3918465
51,NA,NA,474589,3918407
52,-69.39631265,-54.88170743,474574,3918300
53,-69.39718113,-54.88284591,474519,3918173
54,-69.39937361,-54.88388117,474379,3918057
55,-69.4026955,-54.88404994,474166,3918037
56,-69.40490278,-54.8849862,474025,3917932
