"Sitio","N","Mean","StdErr","Sp"
"CoastalForest",18,1.22222222222222,0.338736170453593,"Rayadito"
"CostaCanal",10,1.8,0.553774924194538,"Rayadito"
"CostaYSendero",10,0,0,"Rayadito"
"InteriorForest",9,0.444444444444444,0.293972367896066,"Rayadito"
"RiverForest",9,1,0.52704627669473,"Rayadito"
"TerminalMoraine",10,0.3,0.3,"Rayadito"
"TouristTrail",10,0.5,0.341565025531987,"Rayadito"
"UplandLake",12,0,0,"Rayadito"
"CoastalForest",18,0,0,"Chincol"
"CostaCanal",10,0.4,0.305505046330389,"Chincol"
"CostaYSendero",10,0.4,0.221108319357027,"Chincol"
"InteriorForest",9,0.111111111111111,0.111111111111111,"Chincol"
"RiverForest",9,0.111111111111111,0.111111111111111,"Chincol"
"TerminalMoraine",10,1.1,0.62271805640898,"Chincol"
"TouristTrail",10,0.5,0.341565025531987,"Chincol"
"UplandLake",12,0,0,"Chincol"
"CoastalForest",18,0,0,"ChercanDeLasVegas"
"CostaCanal",10,0,0,"ChercanDeLasVegas"
"CostaYSendero",10,0.1,0.1,"ChercanDeLasVegas"
"InteriorForest",9,0,0,"ChercanDeLasVegas"
"RiverForest",9,0,0,"ChercanDeLasVegas"
"TerminalMoraine",10,0.1,0.1,"ChercanDeLasVegas"
"TouristTrail",10,0,0,"ChercanDeLasVegas"
"UplandLake",12,0,0,"ChercanDeLasVegas"
"CoastalForest",18,0.111111111111111,0.111111111111111,"Chercan "
"CostaCanal",10,0.5,0.268741924943285,"Chercan "
"CostaYSendero",10,0,0,"Chercan "
"InteriorForest",9,0.111111111111111,0.111111111111111,"Chercan "
"RiverForest",9,0.333333333333333,0.333333333333333,"Chercan "
"TerminalMoraine",10,0.1,0.1,"Chercan "
"TouristTrail",10,0,0,"Chercan "
"UplandLake",12,0.0833333333333333,0.0833333333333333,"Chercan "
"CoastalForest",18,0.888888888888889,0.227071277987454,"FioFio"
"CostaCanal",10,2.4,0.4,"FioFio"
"CostaYSendero",10,0.1,0.1,"FioFio"
"InteriorForest",9,1.22222222222222,0.364302140239,"FioFio"
"RiverForest",9,1.44444444444444,0.337931251683234,"FioFio"
"TerminalMoraine",10,0.4,0.221108319357027,"FioFio"
"TouristTrail",10,0.8,0.290593262902712,"FioFio"
"UplandLake",12,0.333333333333333,0.14213381090374,"FioFio"
"CoastalForest",18,0.111111111111111,0.111111111111111,"Jilguero"
"CostaCanal",10,0,0,"Jilguero"
"CostaYSendero",10,0.2,0.2,"Jilguero"
"InteriorForest",9,0,0,"Jilguero"
"RiverForest",9,0,0,"Jilguero"
"TerminalMoraine",10,0,0,"Jilguero"
"TouristTrail",10,0,0,"Jilguero"
"UplandLake",12,0.0833333333333333,0.0833333333333333,"Jilguero"
"CoastalForest",18,0.333333333333333,0.161690416690889,"Churrin"
"CostaCanal",10,0,0,"Churrin"
"CostaYSendero",10,0,0,"Churrin"
"InteriorForest",9,0,0,"Churrin"
"RiverForest",9,0,0,"Churrin"
"TerminalMoraine",10,0,0,"Churrin"
"TouristTrail",10,0,0,"Churrin"
"UplandLake",12,0,0,"Churrin"
"CoastalForest",18,0.0555555555555556,0.0555555555555556,"ChurreteComun"
"CostaCanal",10,0,0,"ChurreteComun"
"CostaYSendero",10,0,0,"ChurreteComun"
"InteriorForest",9,0,0,"ChurreteComun"
"RiverForest",9,0,0,"ChurreteComun"
"TerminalMoraine",10,0,0,"ChurreteComun"
"TouristTrail",10,0,0,"ChurreteComun"
"UplandLake",12,0,0,"ChurreteComun"
"CoastalForest",18,0,0,"Zorzal"
"CostaCanal",10,0.2,0.133333333333333,"Zorzal"
"CostaYSendero",10,0.1,0.1,"Zorzal"
"InteriorForest",9,0.111111111111111,0.111111111111111,"Zorzal"
"RiverForest",9,0,0,"Zorzal"
"TerminalMoraine",10,0,0,"Zorzal"
"TouristTrail",10,0,0,"Zorzal"
"UplandLake",12,0,0,"Zorzal"
"CoastalForest",18,0.0555555555555556,0.0555555555555556,"Cometocino"
"CostaCanal",10,0.4,0.305505046330389,"Cometocino"
"CostaYSendero",10,0,0,"Cometocino"
"InteriorForest",9,0,0,"Cometocino"
"RiverForest",9,0.333333333333333,0.235702260395516,"Cometocino"
"TerminalMoraine",10,0,0,"Cometocino"
"TouristTrail",10,0,0,"Cometocino"
"UplandLake",12,0.0833333333333333,0.0833333333333333,"Cometocino"
