"Abbr","Species","EnglishName","SpanishName","AB_M","AB_S","ACC_M","ACC_S","AIF_M","AIF_S","ARF_M","ARF_S","ESE_M","ESE_S","HC_M","HC_S","HCO_M","HCO_S","ICL_M","ICL_S","PBO_M","PBO_S","PCF_M","PCF_S","PPN_M","PPN_S","PPS_M","PPS_S","PTM_M","PTM_S","PTT_M","PTT_S","PUL_M","PUL_S"
"CAL",NA,NA,NA,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.388888888888889,0.118235637353762,0,0,0,0,0,0,0,0,0.166666666666667,0.112366643743874
"CAN",NA,NA,NA,0,0,0.5,0.166666666666667,0.333333333333333,0.166666666666667,0.333333333333333,0.166666666666667,0.2,0.133333333333333,0,0,0.7,0.152752523165195,1,0,0.1,0.1,0.166666666666667,0.0903876907577734,0,0,0,0,0,0,0,0,0,0
"CHA",NA,NA,NA,0,0,0.9,0.1,0.444444444444444,0.175682092231577,0.777777777777778,0.146986183948033,0.4,0.163299316185545,0,0,0,0,0.2,0.133333333333333,0.8,0.133333333333333,0.666666666666667,0.114332390095006,0,0,0,0,0.4,0.163299316185545,0.7,0.152752523165195,0.583333333333333,0.148647097502641
"COI",NA,NA,NA,0,0,1,0,1,0,1,0,1,0,0,0,0.9,0.1,1,0,1,0,1,0,0,0,0,0,0.8,0.133333333333333,1,0,1,0
"COM",NA,NA,NA,0,0,0.2,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EMP",NA,NA,NA,0,0,0.3,0.152752523165195,0.222222222222222,0.146986183948033,0.222222222222222,0.146986183948033,0.9,0.1,0,0,0,0,0,0,0.1,0.1,0.111111111111111,0.0762215933966706,0,0,0,0,0,0,0.4,0.163299316185545,0,0
"GRA",NA,NA,NA,0,0,0.7,0.152752523165195,0,0,0,0,0.1,0.1,0,0,0.7,0.152752523165195,0,0,0.2,0.133333333333333,0,0,0,0,0,0,0.7,0.152752523165195,0,0,0.166666666666667,0.112366643743874
"JUN",NA,NA,NA,0,0,0.4,0.163299316185545,0,0,0,0,0.8,0.133333333333333,0,0,0.6,0.163299316185545,0,0,0.5,0.166666666666667,0.222222222222222,0.100831690330337,0,0,0,0,0,0,0.5,0.166666666666667,0.75,0.130558241966773
"LDU",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LEN",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAT",NA,NA,NA,0,0,0.3,0.152752523165195,0,0,0.111111111111111,0.111111111111111,0.3,0.152752523165195,0,0,0.5,0.166666666666667,0.1,0.1,0.5,0.166666666666667,0.5,0.121267812518167,0,0,0,0,0.2,0.133333333333333,0.2,0.133333333333333,0.25,0.130558241966773
"MIC",NA,NA,NA,0,0,0,0,0,0,0,0,0.2,0.133333333333333,0,0,0.2,0.133333333333333,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"MUS",NA,NA,NA,0,0,0.1,0.1,0.222222222222222,0.146986183948033,0,0,0.4,0.163299316185545,0,0,0.3,0.152752523165195,0,0,0.3,0.152752523165195,0.222222222222222,0.100831690330337,0,0,0,0,0,0,0.7,0.152752523165195,0.75,0.130558241966773
"GUN",NA,NA,NA,0,0,0.6,0.163299316185545,0.333333333333333,0.166666666666667,0.777777777777778,0.146986183948033,0.3,0.152752523165195,0,0,0.4,0.163299316185545,0,0,0.3,0.152752523165195,0.333333333333333,0.114332390095006,0,0,0,0,0.6,0.163299316185545,0.5,0.166666666666667,0.25,0.130558241966773
"NIR",NA,NA,NA,0,0,0,0,0,0,0.555555555555556,0.175682092231577,0,0,0,0,0,0,0,0,0.4,0.163299316185545,0.111111111111111,0.0762215933966706,0,0,0,0,0.7,0.152752523165195,0.3,0.152752523165195,0.166666666666667,0.112366643743874
"NOT",NA,NA,NA,0,0,0.2,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.166666666666667,0.0903876907577734,0,0,0,0,0,0,0,0,0,0
"ZAS",NA,NA,NA,0,0,0,0,0,0,0.111111111111111,0.111111111111111,0,0,0,0,0,0,0,0,0.2,0.133333333333333,0.0555555555555556,0.0555555555555556,0,0,0,0,0,0,0,0,0,0
